Species,Date,Count,Observer,Location,Comments
LONG-TAILED SHRIKE Lanius schach,2005-02-28,1,(AF/LKS),Punggol,"At Punggol, 6, including a juvenile on 1/1 (AC/AVC), 5 on 1/1 (LKS), 1 on 9/1 (DA/NK/LKS/JR), 1 on  16/1 (DA/NK/LKS) and 2 on 30/1 (LKS/LBW).  1 seen at Changi South Avenue 1, 2/2 (LKS). At Punggol, 1 seen on 13/2 (HHC/JL), 5 on 14/2 (LKS), 3 on  18/2 (LKS), 2 on 19/2 (AC), 1 on 20/2 (DAH/LKS), | on 21/2 (DAH/LKS), 2 on 25/2 (LKS) and 1 on 28/2 (AF/LKS).  -18-   Singapore Avifauna Volume 19 No. 1"
ASHY MINIVET Pericrocotus divaricatus,2005-01-30,6,(NK/LKS/FR/IR/JR),Malcolm Park,"6 seen at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  About 5 counted at Punggol Seventeenth Avenue, 13/2 (AC)."
ASHY MINIVET Pericrocotus divaricatus,2005-02-13,5,(AC),Punggol Seventeenth Avenue,"6 seen at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  About 5 counted at Punggol Seventeenth Avenue, 13/2 (AC)."
GREATER RACKET-TAILED DRONGO Dicrurus paradiseus,2005-01-30,4,(NK/LKS/FR/IR/JR),Malcolm Park,"4 seen at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).   Singapore Avifauna Volume 19 No. 1"
ASIAN BROWN FLYCATCHER Muscicapa dauurica,2005-01-13,1,(LKS),Marina City Park,"1 in open woods at Marina City Park, 13/1 (LKS) and 2 at Kranji Nature Trail, 28/1 (LKS).  2 at Botanic Gardens, 4/2 (LKS), | at Nee Soon, 8/2 (JC/LKS), | at Kent Ridge Park, 12/2 (LKS), 1 at  Marina City Park, 15/2 (LKS/YDL), | at Sime Road, 16/2 (LKS), 1 at Hindhede Nature Park, 16/2 (LKS), 1 on Pulau Ubin, 26/2 (AF/LKS) and 1 at SBWR, 28/2 (AF/LKS)."
ASIAN BROWN FLYCATCHER Muscicapa dauurica,2005-01-28,2,(LKS),Kranji Nature,"1 in open woods at Marina City Park, 13/1 (LKS) and 2 at Kranji Nature Trail, 28/1 (LKS).  2 at Botanic Gardens, 4/2 (LKS), | at Nee Soon, 8/2 (JC/LKS), | at Kent Ridge Park, 12/2 (LKS), 1 at  Marina City Park, 15/2 (LKS/YDL), | at Sime Road, 16/2 (LKS), 1 at Hindhede Nature Park, 16/2 (LKS), 1 on Pulau Ubin, 26/2 (AF/LKS) and 1 at SBWR, 28/2 (AF/LKS)."
ASIAN BROWN FLYCATCHER Muscicapa dauurica,2005-02-04,2,(LKS),Botanic Gardens,"1 in open woods at Marina City Park, 13/1 (LKS) and 2 at Kranji Nature Trail, 28/1 (LKS).  2 at Botanic Gardens, 4/2 (LKS), | at Nee Soon, 8/2 (JC/LKS), | at Kent Ridge Park, 12/2 (LKS), 1 at  Marina City Park, 15/2 (LKS/YDL), | at Sime Road, 16/2 (LKS), 1 at Hindhede Nature Park, 16/2 (LKS), 1 on Pulau Ubin, 26/2 (AF/LKS) and 1 at SBWR, 28/2 (AF/LKS)."
ASIAN BROWN FLYCATCHER Muscicapa dauurica,2005-02-08,1,(JC/LKS),Nee Soon,"1 in open woods at Marina City Park, 13/1 (LKS) and 2 at Kranji Nature Trail, 28/1 (LKS).  2 at Botanic Gardens, 4/2 (LKS), | at Nee Soon, 8/2 (JC/LKS), | at Kent Ridge Park, 12/2 (LKS), 1 at  Marina City Park, 15/2 (LKS/YDL), | at Sime Road, 16/2 (LKS), 1 at Hindhede Nature Park, 16/2 (LKS), 1 on Pulau Ubin, 26/2 (AF/LKS) and 1 at SBWR, 28/2 (AF/LKS)."
ASIAN BROWN FLYCATCHER Muscicapa dauurica,2005-02-12,1,(LKS),Kent Ridge Park,"1 in open woods at Marina City Park, 13/1 (LKS) and 2 at Kranji Nature Trail, 28/1 (LKS).  2 at Botanic Gardens, 4/2 (LKS), | at Nee Soon, 8/2 (JC/LKS), | at Kent Ridge Park, 12/2 (LKS), 1 at  Marina City Park, 15/2 (LKS/YDL), | at Sime Road, 16/2 (LKS), 1 at Hindhede Nature Park, 16/2 (LKS), 1 on Pulau Ubin, 26/2 (AF/LKS) and 1 at SBWR, 28/2 (AF/LKS)."
ASIAN BROWN FLYCATCHER Muscicapa dauurica,2005-02-15,1,(LKS/YDL),Marina City Park,"1 in open woods at Marina City Park, 13/1 (LKS) and 2 at Kranji Nature Trail, 28/1 (LKS).  2 at Botanic Gardens, 4/2 (LKS), | at Nee Soon, 8/2 (JC/LKS), | at Kent Ridge Park, 12/2 (LKS), 1 at  Marina City Park, 15/2 (LKS/YDL), | at Sime Road, 16/2 (LKS), 1 at Hindhede Nature Park, 16/2 (LKS), 1 on Pulau Ubin, 26/2 (AF/LKS) and 1 at SBWR, 28/2 (AF/LKS)."
ASIAN BROWN FLYCATCHER Muscicapa dauurica,2005-02-16,1,(LKS),Sime Road,"1 in open woods at Marina City Park, 13/1 (LKS) and 2 at Kranji Nature Trail, 28/1 (LKS).  2 at Botanic Gardens, 4/2 (LKS), | at Nee Soon, 8/2 (JC/LKS), | at Kent Ridge Park, 12/2 (LKS), 1 at  Marina City Park, 15/2 (LKS/YDL), | at Sime Road, 16/2 (LKS), 1 at Hindhede Nature Park, 16/2 (LKS), 1 on Pulau Ubin, 26/2 (AF/LKS) and 1 at SBWR, 28/2 (AF/LKS)."
ASIAN BROWN FLYCATCHER Muscicapa dauurica,2005-02-16,1,(LKS),Hindhede Nature Park,"1 in open woods at Marina City Park, 13/1 (LKS) and 2 at Kranji Nature Trail, 28/1 (LKS).  2 at Botanic Gardens, 4/2 (LKS), | at Nee Soon, 8/2 (JC/LKS), | at Kent Ridge Park, 12/2 (LKS), 1 at  Marina City Park, 15/2 (LKS/YDL), | at Sime Road, 16/2 (LKS), 1 at Hindhede Nature Park, 16/2 (LKS), 1 on Pulau Ubin, 26/2 (AF/LKS) and 1 at SBWR, 28/2 (AF/LKS)."
ASIAN BROWN FLYCATCHER Muscicapa dauurica,2005-02-26,1,(AF/LKS),Pulau Ubin,"1 in open woods at Marina City Park, 13/1 (LKS) and 2 at Kranji Nature Trail, 28/1 (LKS).  2 at Botanic Gardens, 4/2 (LKS), | at Nee Soon, 8/2 (JC/LKS), | at Kent Ridge Park, 12/2 (LKS), 1 at  Marina City Park, 15/2 (LKS/YDL), | at Sime Road, 16/2 (LKS), 1 at Hindhede Nature Park, 16/2 (LKS), 1 on Pulau Ubin, 26/2 (AF/LKS) and 1 at SBWR, 28/2 (AF/LKS)."
ASIAN BROWN FLYCATCHER Muscicapa dauurica,2005-02-28,1,(AF/LKS),SBWR,"1 in open woods at Marina City Park, 13/1 (LKS) and 2 at Kranji Nature Trail, 28/1 (LKS).  2 at Botanic Gardens, 4/2 (LKS), | at Nee Soon, 8/2 (JC/LKS), | at Kent Ridge Park, 12/2 (LKS), 1 at  Marina City Park, 15/2 (LKS/YDL), | at Sime Road, 16/2 (LKS), 1 at Hindhede Nature Park, 16/2 (LKS), 1 on Pulau Ubin, 26/2 (AF/LKS) and 1 at SBWR, 28/2 (AF/LKS)."
NARCISSUS FLYCATCHER Ficedula narcissina,2005-01-30,1,(AC/KK/LKS/LBW/AOY),Nee Soon,"1 summer male of race elisae seen well at Nee Soon, 30/1 (AC/KK/LKS/LBW/AOY).  1 of race elisae seen at eye level at Ridge Trail, 30/1 (YDL)."
NARCISSUS FLYCATCHER Ficedula narcissina,2005-01-30,1,(YDL),Ridge Trail,"1 summer male of race elisae seen well at Nee Soon, 30/1 (AC/KK/LKS/LBW/AOY).  1 of race elisae seen at eye level at Ridge Trail, 30/1 (YDL)."
SIBERIAN BLUE ROBIN Luscinia cyane,2005-01-14,1,(DA/LKS),Sime Road,"t heard at Sime Road, 14/1 (DA/LKS)."
ORIENTAL MAGPIE-ROBIN Copsychus saularis,2005-01-02,2,(DA/NK/LKS/JR),Pulau Ubin,"2 seen in overgrown coconut plantation on Pulau Ubin, 2/1 (DA/NK/LKS/JR), 1 male seen at SBWR, 19/1  (LKS) and | adult at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).   1 male at SBWR, 4/2 (LKS) and 28/2 (AF/LKS), | male and another heard at Marina City Park, 13/2 (LKS), 1 male in Sg Mamam mangrove, Pulau Ubin, on 20/2 (DAH/LKS) and | seen and another heard on Pulau Hantu Besar, 27/2 (LKS). At the Botanic Gardens, 1 male was seen on 4/2 (LKS) and 5 on 26/2  (LKS)."
ORIENTAL MAGPIE-ROBIN Copsychus saularis,2005-01-19,1,(LKS),SBWR,"2 seen in overgrown coconut plantation on Pulau Ubin, 2/1 (DA/NK/LKS/JR), 1 male seen at SBWR, 19/1  (LKS) and | adult at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).   1 male at SBWR, 4/2 (LKS) and 28/2 (AF/LKS), | male and another heard at Marina City Park, 13/2 (LKS), 1 male in Sg Mamam mangrove, Pulau Ubin, on 20/2 (DAH/LKS) and | seen and another heard on Pulau Hantu Besar, 27/2 (LKS). At the Botanic Gardens, 1 male was seen on 4/2 (LKS) and 5 on 26/2  (LKS)."
ORIENTAL MAGPIE-ROBIN Copsychus saularis,2005-01-30,1,(NK/LKS/FR/IR/JR),Malcolm Park,"2 seen in overgrown coconut plantation on Pulau Ubin, 2/1 (DA/NK/LKS/JR), 1 male seen at SBWR, 19/1  (LKS) and | adult at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).   1 male at SBWR, 4/2 (LKS) and 28/2 (AF/LKS), | male and another heard at Marina City Park, 13/2 (LKS), 1 male in Sg Mamam mangrove, Pulau Ubin, on 20/2 (DAH/LKS) and | seen and another heard on Pulau Hantu Besar, 27/2 (LKS). At the Botanic Gardens, 1 male was seen on 4/2 (LKS) and 5 on 26/2  (LKS)."
ORIENTAL MAGPIE-ROBIN Copsychus saularis,2005-02-04,1,(LKS),SBWR,"2 seen in overgrown coconut plantation on Pulau Ubin, 2/1 (DA/NK/LKS/JR), 1 male seen at SBWR, 19/1  (LKS) and | adult at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).   1 male at SBWR, 4/2 (LKS) and 28/2 (AF/LKS), | male and another heard at Marina City Park, 13/2 (LKS), 1 male in Sg Mamam mangrove, Pulau Ubin, on 20/2 (DAH/LKS) and | seen and another heard on Pulau Hantu Besar, 27/2 (LKS). At the Botanic Gardens, 1 male was seen on 4/2 (LKS) and 5 on 26/2  (LKS)."
ORIENTAL MAGPIE-ROBIN Copsychus saularis,2005-02-28,1,(AF/LKS),SBWR,"2 seen in overgrown coconut plantation on Pulau Ubin, 2/1 (DA/NK/LKS/JR), 1 male seen at SBWR, 19/1  (LKS) and | adult at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).   1 male at SBWR, 4/2 (LKS) and 28/2 (AF/LKS), | male and another heard at Marina City Park, 13/2 (LKS), 1 male in Sg Mamam mangrove, Pulau Ubin, on 20/2 (DAH/LKS) and | seen and another heard on Pulau Hantu Besar, 27/2 (LKS). At the Botanic Gardens, 1 male was seen on 4/2 (LKS) and 5 on 26/2  (LKS)."
ORIENTAL MAGPIE-ROBIN Copsychus saularis,2005-02-13,2,(LKS),Marina City Park,"2 seen in overgrown coconut plantation on Pulau Ubin, 2/1 (DA/NK/LKS/JR), 1 male seen at SBWR, 19/1  (LKS) and | adult at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).   1 male at SBWR, 4/2 (LKS) and 28/2 (AF/LKS), | male and another heard at Marina City Park, 13/2 (LKS), 1 male in Sg Mamam mangrove, Pulau Ubin, on 20/2 (DAH/LKS) and | seen and another heard on Pulau Hantu Besar, 27/2 (LKS). At the Botanic Gardens, 1 male was seen on 4/2 (LKS) and 5 on 26/2  (LKS)."
ORIENTAL MAGPIE-ROBIN Copsychus saularis,2005-02-20,1,(DAH/LKS),Pulau Ubin,"2 seen in overgrown coconut plantation on Pulau Ubin, 2/1 (DA/NK/LKS/JR), 1 male seen at SBWR, 19/1  (LKS) and | adult at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).   1 male at SBWR, 4/2 (LKS) and 28/2 (AF/LKS), | male and another heard at Marina City Park, 13/2 (LKS), 1 male in Sg Mamam mangrove, Pulau Ubin, on 20/2 (DAH/LKS) and | seen and another heard on Pulau Hantu Besar, 27/2 (LKS). At the Botanic Gardens, 1 male was seen on 4/2 (LKS) and 5 on 26/2  (LKS)."
ORIENTAL MAGPIE-ROBIN Copsychus saularis,2005-02-27,2,(LKS),Pulau Hantu Besar,"2 seen in overgrown coconut plantation on Pulau Ubin, 2/1 (DA/NK/LKS/JR), 1 male seen at SBWR, 19/1  (LKS) and | adult at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).   1 male at SBWR, 4/2 (LKS) and 28/2 (AF/LKS), | male and another heard at Marina City Park, 13/2 (LKS), 1 male in Sg Mamam mangrove, Pulau Ubin, on 20/2 (DAH/LKS) and | seen and another heard on Pulau Hantu Besar, 27/2 (LKS). At the Botanic Gardens, 1 male was seen on 4/2 (LKS) and 5 on 26/2  (LKS)."
ORIENTAL MAGPIE-ROBIN Copsychus saularis,2005-02-04,1,(LKS),Botanic Gardens,"2 seen in overgrown coconut plantation on Pulau Ubin, 2/1 (DA/NK/LKS/JR), 1 male seen at SBWR, 19/1  (LKS) and | adult at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).   1 male at SBWR, 4/2 (LKS) and 28/2 (AF/LKS), | male and another heard at Marina City Park, 13/2 (LKS), 1 male in Sg Mamam mangrove, Pulau Ubin, on 20/2 (DAH/LKS) and | seen and another heard on Pulau Hantu Besar, 27/2 (LKS). At the Botanic Gardens, 1 male was seen on 4/2 (LKS) and 5 on 26/2  (LKS)."
ORIENTAL MAGPIE-ROBIN Copsychus saularis,2005-02-26,5,(LKS),Botanic Gardens,"2 seen in overgrown coconut plantation on Pulau Ubin, 2/1 (DA/NK/LKS/JR), 1 male seen at SBWR, 19/1  (LKS) and | adult at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).   1 male at SBWR, 4/2 (LKS) and 28/2 (AF/LKS), | male and another heard at Marina City Park, 13/2 (LKS), 1 male in Sg Mamam mangrove, Pulau Ubin, on 20/2 (DAH/LKS) and | seen and another heard on Pulau Hantu Besar, 27/2 (LKS). At the Botanic Gardens, 1 male was seen on 4/2 (LKS) and 5 on 26/2  (LKS)."
PURPLE-BACKED STARLING Sturnus sturninus,2005-01-30,40,(NK/LKS/FR/IR/JR),Malcolm Park,"A flock of 40 seen with 2 Asian Glossy Starlings at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  300 over Sembawang Road, 8/2 (SA/LKS)."
PURPLE-BACKED STARLING Sturnus sturninus,2005-02-08,300,(SA/LKS),Sembawang Road,"A flock of 40 seen with 2 Asian Glossy Starlings at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  300 over Sembawang Road, 8/2 (SA/LKS)."
WHITE-SHOULDERED STARLING Sturnus sinensis,2005-01-01,12,(AC/AVC/LKS),Punggol,"At Punggol, a maximum of 12 were seen on 1/1 (AC/AVC/LKS), 8 on 2/1 (AC/AVC/GYY/KK/LKK/AOY/TIL/TSK) and 17, including 5 males, on 9/1 (DA/NK/LKS/JR).  2, including a male, at Changi North, 13/2 (LKS). At Punggol, 12 were seen on 14/2 (LKS) and 1} on 18/2  (JC/LKS/OKS)."
WHITE-SHOULDERED STARLING Sturnus sinensis,2005-01-02,8,(AC/AVC/GYY/KK/LKK/AOY/TIL/TSK),Punggol,"At Punggol, a maximum of 12 were seen on 1/1 (AC/AVC/LKS), 8 on 2/1 (AC/AVC/GYY/KK/LKK/AOY/TIL/TSK) and 17, including 5 males, on 9/1 (DA/NK/LKS/JR).  2, including a male, at Changi North, 13/2 (LKS). At Punggol, 12 were seen on 14/2 (LKS) and 1} on 18/2  (JC/LKS/OKS)."
WHITE-SHOULDERED STARLING Sturnus sinensis,2005-01-09,17,(DA/NK/LKS/JR),Punggol,"At Punggol, a maximum of 12 were seen on 1/1 (AC/AVC/LKS), 8 on 2/1 (AC/AVC/GYY/KK/LKK/AOY/TIL/TSK) and 17, including 5 males, on 9/1 (DA/NK/LKS/JR).  2, including a male, at Changi North, 13/2 (LKS). At Punggol, 12 were seen on 14/2 (LKS) and 1} on 18/2  (JC/LKS/OKS)."
WHITE-SHOULDERED STARLING Sturnus sinensis,2005-02-13,2,(LKS),Changi North,"At Punggol, a maximum of 12 were seen on 1/1 (AC/AVC/LKS), 8 on 2/1 (AC/AVC/GYY/KK/LKK/AOY/TIL/TSK) and 17, including 5 males, on 9/1 (DA/NK/LKS/JR).  2, including a male, at Changi North, 13/2 (LKS). At Punggol, 12 were seen on 14/2 (LKS) and 1} on 18/2  (JC/LKS/OKS)."
WHITE-SHOULDERED STARLING Sturnus sinensis,2005-02-14,12,(LKS),Punggol,"At Punggol, a maximum of 12 were seen on 1/1 (AC/AVC/LKS), 8 on 2/1 (AC/AVC/GYY/KK/LKK/AOY/TIL/TSK) and 17, including 5 males, on 9/1 (DA/NK/LKS/JR).  2, including a male, at Changi North, 13/2 (LKS). At Punggol, 12 were seen on 14/2 (LKS) and 1} on 18/2  (JC/LKS/OKS)."
WHITE-SHOULDERED STARLING Sturnus sinensis,2005-02-18,1,(JC/LKS/OKS),Punggol,"At Punggol, a maximum of 12 were seen on 1/1 (AC/AVC/LKS), 8 on 2/1 (AC/AVC/GYY/KK/LKK/AOY/TIL/TSK) and 17, including 5 males, on 9/1 (DA/NK/LKS/JR).  2, including a male, at Changi North, 13/2 (LKS). At Punggol, 12 were seen on 14/2 (LKS) and 1} on 18/2  (JC/LKS/OKS)."
HLL MYNA Gracula religiosa,2005-01-04,2,(LKS),BTNR,"2 seen at Belukar Path, BTNR on 4/1 (LKS) and 4 at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR)."
HLL MYNA Gracula religiosa,2005-01-30,4,(NK/LKS/FR/IR/JR),Malcolm Park,"2 seen at Belukar Path, BTNR on 4/1 (LKS) and 4 at Malcolm Park, 30/1 (NK/LKS/FR/IR/JR)."
RED-RUMPED SWALLOW Hirundo daurica,2005-01-01,3,(LKS),Punggol,"At Punggol, 3 were seen on 1/1 (LKS), 1 on 9/1 (DA/NK/LKS/JR) and 2 on 16/1 (DA/NK/LKS).  1 at Changi North, 13/2 (LKS), and 2 at Lower Seletar Dam, 14/2 (LKS/LBW). At Punggol 1 was seen on  14/2 (LKS) and 18/2 (LKS), and 2 on 19/2 (AC)."
RED-RUMPED SWALLOW Hirundo daurica,2005-01-09,1,(DA/NK/LKS/JR),Punggol,"At Punggol, 3 were seen on 1/1 (LKS), 1 on 9/1 (DA/NK/LKS/JR) and 2 on 16/1 (DA/NK/LKS).  1 at Changi North, 13/2 (LKS), and 2 at Lower Seletar Dam, 14/2 (LKS/LBW). At Punggol 1 was seen on  14/2 (LKS) and 18/2 (LKS), and 2 on 19/2 (AC)."
RED-RUMPED SWALLOW Hirundo daurica,2005-01-16,2,(DA/NK/LKS),Punggol,"At Punggol, 3 were seen on 1/1 (LKS), 1 on 9/1 (DA/NK/LKS/JR) and 2 on 16/1 (DA/NK/LKS).  1 at Changi North, 13/2 (LKS), and 2 at Lower Seletar Dam, 14/2 (LKS/LBW). At Punggol 1 was seen on  14/2 (LKS) and 18/2 (LKS), and 2 on 19/2 (AC)."
RED-RUMPED SWALLOW Hirundo daurica,2005-02-13,1,(LKS),Changi North,"At Punggol, 3 were seen on 1/1 (LKS), 1 on 9/1 (DA/NK/LKS/JR) and 2 on 16/1 (DA/NK/LKS).  1 at Changi North, 13/2 (LKS), and 2 at Lower Seletar Dam, 14/2 (LKS/LBW). At Punggol 1 was seen on  14/2 (LKS) and 18/2 (LKS), and 2 on 19/2 (AC)."
RED-RUMPED SWALLOW Hirundo daurica,2005-02-14,2,(LKS/LBW),Lower Seletar Dam,"At Punggol, 3 were seen on 1/1 (LKS), 1 on 9/1 (DA/NK/LKS/JR) and 2 on 16/1 (DA/NK/LKS).  1 at Changi North, 13/2 (LKS), and 2 at Lower Seletar Dam, 14/2 (LKS/LBW). At Punggol 1 was seen on  14/2 (LKS) and 18/2 (LKS), and 2 on 19/2 (AC)."
RED-RUMPED SWALLOW Hirundo daurica,2005-02-14,1,(LKS),Punggol,"At Punggol, 3 were seen on 1/1 (LKS), 1 on 9/1 (DA/NK/LKS/JR) and 2 on 16/1 (DA/NK/LKS).  1 at Changi North, 13/2 (LKS), and 2 at Lower Seletar Dam, 14/2 (LKS/LBW). At Punggol 1 was seen on  14/2 (LKS) and 18/2 (LKS), and 2 on 19/2 (AC)."
RED-RUMPED SWALLOW Hirundo daurica,2005-02-18,1,(LKS),Punggol,"At Punggol, 3 were seen on 1/1 (LKS), 1 on 9/1 (DA/NK/LKS/JR) and 2 on 16/1 (DA/NK/LKS).  1 at Changi North, 13/2 (LKS), and 2 at Lower Seletar Dam, 14/2 (LKS/LBW). At Punggol 1 was seen on  14/2 (LKS) and 18/2 (LKS), and 2 on 19/2 (AC)."
RED-RUMPED SWALLOW Hirundo daurica,2005-02-19,2,(AC),Punggol,"At Punggol, 3 were seen on 1/1 (LKS), 1 on 9/1 (DA/NK/LKS/JR) and 2 on 16/1 (DA/NK/LKS).  1 at Changi North, 13/2 (LKS), and 2 at Lower Seletar Dam, 14/2 (LKS/LBW). At Punggol 1 was seen on  14/2 (LKS) and 18/2 (LKS), and 2 on 19/2 (AC)."
STRAW-HEADED BULBUL Pycnonotus zeylanicus,2005-01-02,5,(DA/NK/LKS/JR),Pulau Ubin,"5 seen on Pulau Ubin, 2/1! (DA/NK/LKS/JR), 3 bathing in a drain at BBNP, 14/1 (DA/LKS) and 4 at  Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  1 pair seen adding nesting material to a well hidden nest in the upper branches of an Acacia at the quarry  pond, at BBNP, 14/1 (DA/LKS). The nest was 5 metres above the water surface.   1 heard at Rifle Range Road, 16/2 (LKS), 2 seen at Hindhede Nature Park, 16/2 (LKS), 1 heard at Dairy Farm Road, 17/2 (LKS), 2 heard at Poyan, 20/2 (JC/HHC/SBS) and 2 seen at Holland Woods (near a river) on 27/2 (HHC/JL). A flock of 5 was seen feeding on a fruiting Macaranga heynei at Pulau Ubin on 20/2 (DAH/LKS). A flock of 4 was also seen at BBNP on 28/2 (AF/LKS)."
STRAW-HEADED BULBUL Pycnonotus zeylanicus,2005-01-14,3,(DA/LKS),BBNP,"5 seen on Pulau Ubin, 2/1! (DA/NK/LKS/JR), 3 bathing in a drain at BBNP, 14/1 (DA/LKS) and 4 at  Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  1 pair seen adding nesting material to a well hidden nest in the upper branches of an Acacia at the quarry  pond, at BBNP, 14/1 (DA/LKS). The nest was 5 metres above the water surface.   1 heard at Rifle Range Road, 16/2 (LKS), 2 seen at Hindhede Nature Park, 16/2 (LKS), 1 heard at Dairy Farm Road, 17/2 (LKS), 2 heard at Poyan, 20/2 (JC/HHC/SBS) and 2 seen at Holland Woods (near a river) on 27/2 (HHC/JL). A flock of 5 was seen feeding on a fruiting Macaranga heynei at Pulau Ubin on 20/2 (DAH/LKS). A flock of 4 was also seen at BBNP on 28/2 (AF/LKS)."
STRAW-HEADED BULBUL Pycnonotus zeylanicus,2005-01-30,4,(NK/LKS/FR/IR/JR),Malcolm Park,"5 seen on Pulau Ubin, 2/1! (DA/NK/LKS/JR), 3 bathing in a drain at BBNP, 14/1 (DA/LKS) and 4 at  Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  1 pair seen adding nesting material to a well hidden nest in the upper branches of an Acacia at the quarry  pond, at BBNP, 14/1 (DA/LKS). The nest was 5 metres above the water surface.   1 heard at Rifle Range Road, 16/2 (LKS), 2 seen at Hindhede Nature Park, 16/2 (LKS), 1 heard at Dairy Farm Road, 17/2 (LKS), 2 heard at Poyan, 20/2 (JC/HHC/SBS) and 2 seen at Holland Woods (near a river) on 27/2 (HHC/JL). A flock of 5 was seen feeding on a fruiting Macaranga heynei at Pulau Ubin on 20/2 (DAH/LKS). A flock of 4 was also seen at BBNP on 28/2 (AF/LKS)."
STRAW-HEADED BULBUL Pycnonotus zeylanicus,2005-01-14,2,(DA/LKS),BBNP,"5 seen on Pulau Ubin, 2/1! (DA/NK/LKS/JR), 3 bathing in a drain at BBNP, 14/1 (DA/LKS) and 4 at  Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  1 pair seen adding nesting material to a well hidden nest in the upper branches of an Acacia at the quarry  pond, at BBNP, 14/1 (DA/LKS). The nest was 5 metres above the water surface.   1 heard at Rifle Range Road, 16/2 (LKS), 2 seen at Hindhede Nature Park, 16/2 (LKS), 1 heard at Dairy Farm Road, 17/2 (LKS), 2 heard at Poyan, 20/2 (JC/HHC/SBS) and 2 seen at Holland Woods (near a river) on 27/2 (HHC/JL). A flock of 5 was seen feeding on a fruiting Macaranga heynei at Pulau Ubin on 20/2 (DAH/LKS). A flock of 4 was also seen at BBNP on 28/2 (AF/LKS)."
STRAW-HEADED BULBUL Pycnonotus zeylanicus,2005-02-16,1,(LKS),Rifle Range Road,"5 seen on Pulau Ubin, 2/1! (DA/NK/LKS/JR), 3 bathing in a drain at BBNP, 14/1 (DA/LKS) and 4 at  Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  1 pair seen adding nesting material to a well hidden nest in the upper branches of an Acacia at the quarry  pond, at BBNP, 14/1 (DA/LKS). The nest was 5 metres above the water surface.   1 heard at Rifle Range Road, 16/2 (LKS), 2 seen at Hindhede Nature Park, 16/2 (LKS), 1 heard at Dairy Farm Road, 17/2 (LKS), 2 heard at Poyan, 20/2 (JC/HHC/SBS) and 2 seen at Holland Woods (near a river) on 27/2 (HHC/JL). A flock of 5 was seen feeding on a fruiting Macaranga heynei at Pulau Ubin on 20/2 (DAH/LKS). A flock of 4 was also seen at BBNP on 28/2 (AF/LKS)."
STRAW-HEADED BULBUL Pycnonotus zeylanicus,2005-02-16,2,(LKS),Hindhede Nature Park,"5 seen on Pulau Ubin, 2/1! (DA/NK/LKS/JR), 3 bathing in a drain at BBNP, 14/1 (DA/LKS) and 4 at  Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  1 pair seen adding nesting material to a well hidden nest in the upper branches of an Acacia at the quarry  pond, at BBNP, 14/1 (DA/LKS). The nest was 5 metres above the water surface.   1 heard at Rifle Range Road, 16/2 (LKS), 2 seen at Hindhede Nature Park, 16/2 (LKS), 1 heard at Dairy Farm Road, 17/2 (LKS), 2 heard at Poyan, 20/2 (JC/HHC/SBS) and 2 seen at Holland Woods (near a river) on 27/2 (HHC/JL). A flock of 5 was seen feeding on a fruiting Macaranga heynei at Pulau Ubin on 20/2 (DAH/LKS). A flock of 4 was also seen at BBNP on 28/2 (AF/LKS)."
STRAW-HEADED BULBUL Pycnonotus zeylanicus,2005-02-17,1,(LKS),Dairy Farm Road,"5 seen on Pulau Ubin, 2/1! (DA/NK/LKS/JR), 3 bathing in a drain at BBNP, 14/1 (DA/LKS) and 4 at  Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  1 pair seen adding nesting material to a well hidden nest in the upper branches of an Acacia at the quarry  pond, at BBNP, 14/1 (DA/LKS). The nest was 5 metres above the water surface.   1 heard at Rifle Range Road, 16/2 (LKS), 2 seen at Hindhede Nature Park, 16/2 (LKS), 1 heard at Dairy Farm Road, 17/2 (LKS), 2 heard at Poyan, 20/2 (JC/HHC/SBS) and 2 seen at Holland Woods (near a river) on 27/2 (HHC/JL). A flock of 5 was seen feeding on a fruiting Macaranga heynei at Pulau Ubin on 20/2 (DAH/LKS). A flock of 4 was also seen at BBNP on 28/2 (AF/LKS)."
