English name,Scientific name,Date,Count,Observer,Location,Comments
Straw-headed Bulbul,Pycnonotus zeylanicus,2/1/2005,5,(DA/NK/LKS/JR),Pulau Ubin,"5 seen on Pulau Ubin, 2/1! (DA/NK/LKS/JR), 3 bathing in a drain at BBNP, 14/1 (DA/LKS) and 4 at  Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  1 pair seen adding nesting material to a well hidden nest in the upper branches of an Acacia at the quarry  pond, at BBNP, 14/1 (DA/LKS). The nest was 5 metres above the water surface.   1 heard at Rifle Range Road, 16/2 (LKS), 2 seen at Hindhede Nature Park, 16/2 (LKS), 1 heard at Dairy Farm Road, 17/2 (LKS), 2 heard at Poyan, 20/2 (JC/HHC/SBS) and 2 seen at Holland Woods (near a river) on 27/2 (HHC/JL). A flock of 5 was seen feeding on a fruiting Macaranga heynei at Pulau Ubin on 20/2 (DAH/LKS). A flock of 4 was also seen at BBNP on 28/2 (AF/LKS)."
Straw-headed Bulbul,Pycnonotus zeylanicus,14/1/2005,3,(DA/LKS),BBNP,"5 seen on Pulau Ubin, 2/1! (DA/NK/LKS/JR), 3 bathing in a drain at BBNP, 14/1 (DA/LKS) and 4 at  Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  1 pair seen adding nesting material to a well hidden nest in the upper branches of an Acacia at the quarry  pond, at BBNP, 14/1 (DA/LKS). The nest was 5 metres above the water surface.   1 heard at Rifle Range Road, 16/2 (LKS), 2 seen at Hindhede Nature Park, 16/2 (LKS), 1 heard at Dairy Farm Road, 17/2 (LKS), 2 heard at Poyan, 20/2 (JC/HHC/SBS) and 2 seen at Holland Woods (near a river) on 27/2 (HHC/JL). A flock of 5 was seen feeding on a fruiting Macaranga heynei at Pulau Ubin on 20/2 (DAH/LKS). A flock of 4 was also seen at BBNP on 28/2 (AF/LKS)."
Straw-headed Bulbul,Pycnonotus zeylanicus,30/1/2005,4,(NK/LKS/FR/IR/JR),Malcolm Park,"5 seen on Pulau Ubin, 2/1! (DA/NK/LKS/JR), 3 bathing in a drain at BBNP, 14/1 (DA/LKS) and 4 at  Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  1 pair seen adding nesting material to a well hidden nest in the upper branches of an Acacia at the quarry  pond, at BBNP, 14/1 (DA/LKS). The nest was 5 metres above the water surface.   1 heard at Rifle Range Road, 16/2 (LKS), 2 seen at Hindhede Nature Park, 16/2 (LKS), 1 heard at Dairy Farm Road, 17/2 (LKS), 2 heard at Poyan, 20/2 (JC/HHC/SBS) and 2 seen at Holland Woods (near a river) on 27/2 (HHC/JL). A flock of 5 was seen feeding on a fruiting Macaranga heynei at Pulau Ubin on 20/2 (DAH/LKS). A flock of 4 was also seen at BBNP on 28/2 (AF/LKS)."
Straw-headed Bulbul,Pycnonotus zeylanicus,14/1/2005,2,(DA/LKS),BBNP,"5 seen on Pulau Ubin, 2/1! (DA/NK/LKS/JR), 3 bathing in a drain at BBNP, 14/1 (DA/LKS) and 4 at  Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  1 pair seen adding nesting material to a well hidden nest in the upper branches of an Acacia at the quarry  pond, at BBNP, 14/1 (DA/LKS). The nest was 5 metres above the water surface.   1 heard at Rifle Range Road, 16/2 (LKS), 2 seen at Hindhede Nature Park, 16/2 (LKS), 1 heard at Dairy Farm Road, 17/2 (LKS), 2 heard at Poyan, 20/2 (JC/HHC/SBS) and 2 seen at Holland Woods (near a river) on 27/2 (HHC/JL). A flock of 5 was seen feeding on a fruiting Macaranga heynei at Pulau Ubin on 20/2 (DAH/LKS). A flock of 4 was also seen at BBNP on 28/2 (AF/LKS)."
Straw-headed Bulbul,Pycnonotus zeylanicus,16/2/2005,1,(LKS),Rifle Range Road,"5 seen on Pulau Ubin, 2/1! (DA/NK/LKS/JR), 3 bathing in a drain at BBNP, 14/1 (DA/LKS) and 4 at  Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  1 pair seen adding nesting material to a well hidden nest in the upper branches of an Acacia at the quarry  pond, at BBNP, 14/1 (DA/LKS). The nest was 5 metres above the water surface.   1 heard at Rifle Range Road, 16/2 (LKS), 2 seen at Hindhede Nature Park, 16/2 (LKS), 1 heard at Dairy Farm Road, 17/2 (LKS), 2 heard at Poyan, 20/2 (JC/HHC/SBS) and 2 seen at Holland Woods (near a river) on 27/2 (HHC/JL). A flock of 5 was seen feeding on a fruiting Macaranga heynei at Pulau Ubin on 20/2 (DAH/LKS). A flock of 4 was also seen at BBNP on 28/2 (AF/LKS)."
Straw-headed Bulbul,Pycnonotus zeylanicus,16/2/2005,2,(LKS),Hindhede Nature Park,"5 seen on Pulau Ubin, 2/1! (DA/NK/LKS/JR), 3 bathing in a drain at BBNP, 14/1 (DA/LKS) and 4 at  Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  1 pair seen adding nesting material to a well hidden nest in the upper branches of an Acacia at the quarry  pond, at BBNP, 14/1 (DA/LKS). The nest was 5 metres above the water surface.   1 heard at Rifle Range Road, 16/2 (LKS), 2 seen at Hindhede Nature Park, 16/2 (LKS), 1 heard at Dairy Farm Road, 17/2 (LKS), 2 heard at Poyan, 20/2 (JC/HHC/SBS) and 2 seen at Holland Woods (near a river) on 27/2 (HHC/JL). A flock of 5 was seen feeding on a fruiting Macaranga heynei at Pulau Ubin on 20/2 (DAH/LKS). A flock of 4 was also seen at BBNP on 28/2 (AF/LKS)."
Straw-headed Bulbul,Pycnonotus zeylanicus,17/2/2005,1,(LKS),Dairy Farm Road,"5 seen on Pulau Ubin, 2/1! (DA/NK/LKS/JR), 3 bathing in a drain at BBNP, 14/1 (DA/LKS) and 4 at  Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  1 pair seen adding nesting material to a well hidden nest in the upper branches of an Acacia at the quarry  pond, at BBNP, 14/1 (DA/LKS). The nest was 5 metres above the water surface.   1 heard at Rifle Range Road, 16/2 (LKS), 2 seen at Hindhede Nature Park, 16/2 (LKS), 1 heard at Dairy Farm Road, 17/2 (LKS), 2 heard at Poyan, 20/2 (JC/HHC/SBS) and 2 seen at Holland Woods (near a river) on 27/2 (HHC/JL). A flock of 5 was seen feeding on a fruiting Macaranga heynei at Pulau Ubin on 20/2 (DAH/LKS). A flock of 4 was also seen at BBNP on 28/2 (AF/LKS)."
Straw-headed Bulbul,Pycnonotus zeylanicus,20/2/2005,2,(JC/HHC/SBS),Poyan,"5 seen on Pulau Ubin, 2/1! (DA/NK/LKS/JR), 3 bathing in a drain at BBNP, 14/1 (DA/LKS) and 4 at  Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  1 pair seen adding nesting material to a well hidden nest in the upper branches of an Acacia at the quarry  pond, at BBNP, 14/1 (DA/LKS). The nest was 5 metres above the water surface.   1 heard at Rifle Range Road, 16/2 (LKS), 2 seen at Hindhede Nature Park, 16/2 (LKS), 1 heard at Dairy Farm Road, 17/2 (LKS), 2 heard at Poyan, 20/2 (JC/HHC/SBS) and 2 seen at Holland Woods (near a river) on 27/2 (HHC/JL). A flock of 5 was seen feeding on a fruiting Macaranga heynei at Pulau Ubin on 20/2 (DAH/LKS). A flock of 4 was also seen at BBNP on 28/2 (AF/LKS)."
Straw-headed Bulbul,Pycnonotus zeylanicus,27/2/2005,2,(HHC/JL),Holland Woods,"5 seen on Pulau Ubin, 2/1! (DA/NK/LKS/JR), 3 bathing in a drain at BBNP, 14/1 (DA/LKS) and 4 at  Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  1 pair seen adding nesting material to a well hidden nest in the upper branches of an Acacia at the quarry  pond, at BBNP, 14/1 (DA/LKS). The nest was 5 metres above the water surface.   1 heard at Rifle Range Road, 16/2 (LKS), 2 seen at Hindhede Nature Park, 16/2 (LKS), 1 heard at Dairy Farm Road, 17/2 (LKS), 2 heard at Poyan, 20/2 (JC/HHC/SBS) and 2 seen at Holland Woods (near a river) on 27/2 (HHC/JL). A flock of 5 was seen feeding on a fruiting Macaranga heynei at Pulau Ubin on 20/2 (DAH/LKS). A flock of 4 was also seen at BBNP on 28/2 (AF/LKS)."
Straw-headed Bulbul,Pycnonotus zeylanicus,20/2/2005,5,(DAH/LKS),Pulau Ubin,"5 seen on Pulau Ubin, 2/1! (DA/NK/LKS/JR), 3 bathing in a drain at BBNP, 14/1 (DA/LKS) and 4 at  Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  1 pair seen adding nesting material to a well hidden nest in the upper branches of an Acacia at the quarry  pond, at BBNP, 14/1 (DA/LKS). The nest was 5 metres above the water surface.   1 heard at Rifle Range Road, 16/2 (LKS), 2 seen at Hindhede Nature Park, 16/2 (LKS), 1 heard at Dairy Farm Road, 17/2 (LKS), 2 heard at Poyan, 20/2 (JC/HHC/SBS) and 2 seen at Holland Woods (near a river) on 27/2 (HHC/JL). A flock of 5 was seen feeding on a fruiting Macaranga heynei at Pulau Ubin on 20/2 (DAH/LKS). A flock of 4 was also seen at BBNP on 28/2 (AF/LKS)."
Straw-headed Bulbul,Pycnonotus zeylanicus,28/2/2005,4,(AF/LKS),BBNP,"5 seen on Pulau Ubin, 2/1! (DA/NK/LKS/JR), 3 bathing in a drain at BBNP, 14/1 (DA/LKS) and 4 at  Malcolm Park, 30/1 (NK/LKS/FR/IR/JR).  1 pair seen adding nesting material to a well hidden nest in the upper branches of an Acacia at the quarry  pond, at BBNP, 14/1 (DA/LKS). The nest was 5 metres above the water surface.   1 heard at Rifle Range Road, 16/2 (LKS), 2 seen at Hindhede Nature Park, 16/2 (LKS), 1 heard at Dairy Farm Road, 17/2 (LKS), 2 heard at Poyan, 20/2 (JC/HHC/SBS) and 2 seen at Holland Woods (near a river) on 27/2 (HHC/JL). A flock of 5 was seen feeding on a fruiting Macaranga heynei at Pulau Ubin on 20/2 (DAH/LKS). A flock of 4 was also seen at BBNP on 28/2 (AF/LKS)."
Red-whiskered Bulbul,Pycnonotus jocosus,7/1/2005,1,(DA/LKS),SBWR,"1 at SBWR, 7/1 (DA/LKS), 1 at Marina City Park, 13/1 (LKS), 2 at Lorong Halus, 16/1 (DA/NK/LKS) and  2 at Punggol, 30/1 (LKS/LBW).  3 at Punggol, 18/2 (LKS)."
Red-whiskered Bulbul,Pycnonotus jocosus,13/1/2005,1,(LKS),Marina City Park,"1 at SBWR, 7/1 (DA/LKS), 1 at Marina City Park, 13/1 (LKS), 2 at Lorong Halus, 16/1 (DA/NK/LKS) and  2 at Punggol, 30/1 (LKS/LBW).  3 at Punggol, 18/2 (LKS)."
Red-whiskered Bulbul,Pycnonotus jocosus,16/1/2005,2,(DA/NK/LKS),Lorong Halus,"1 at SBWR, 7/1 (DA/LKS), 1 at Marina City Park, 13/1 (LKS), 2 at Lorong Halus, 16/1 (DA/NK/LKS) and  2 at Punggol, 30/1 (LKS/LBW).  3 at Punggol, 18/2 (LKS)."
Red-whiskered Bulbul,Pycnonotus jocosus,30/1/2005,2,(LKS/LBW),Punggol,"1 at SBWR, 7/1 (DA/LKS), 1 at Marina City Park, 13/1 (LKS), 2 at Lorong Halus, 16/1 (DA/NK/LKS) and  2 at Punggol, 30/1 (LKS/LBW).  3 at Punggol, 18/2 (LKS)."
Red-whiskered Bulbul,Pycnonotus jocosus,18/2/2005,3,(LKS),Punggol,"1 at SBWR, 7/1 (DA/LKS), 1 at Marina City Park, 13/1 (LKS), 2 at Lorong Halus, 16/1 (DA/NK/LKS) and  2 at Punggol, 30/1 (LKS/LBW).  3 at Punggol, 18/2 (LKS)."
Sooty-headed Bulbul,Pycnonotus aurigaster,16/1/2005,2,(DA/NK/LKS),Lorong Halus,"2 seen in open scrub at Lorong Halus, 16/1 (DA/NK/LKS)."
Cream-vented Bulbul,Pycnonotus simplex,14/1/2005,2,(DA/LKS),Sime Road,"2 at Sime Road, 14/1 (DA/LKS).  3 seen at Nee Soon, 8/2 (JC/LKS) and 1 at Sime Road, 16/2 (LKS).  -19-   Singapore Avifauna Volume 19 No. 1"
Cream-vented Bulbul,Pycnonotus simplex,8/2/2005,3,(JC/LKS),Nee Soon,"2 at Sime Road, 14/1 (DA/LKS).  3 seen at Nee Soon, 8/2 (JC/LKS) and 1 at Sime Road, 16/2 (LKS).  -19-   Singapore Avifauna Volume 19 No. 1"
Cream-vented Bulbul,Pycnonotus simplex,16/2/2005,1,(LKS),Sime Road,"2 at Sime Road, 14/1 (DA/LKS).  3 seen at Nee Soon, 8/2 (JC/LKS) and 1 at Sime Road, 16/2 (LKS).  -19-   Singapore Avifauna Volume 19 No. 1"
Red-eyed Bulbul,Pycnonotus brunneus,14/1/2005,2,(DA/LKS),Rifle Range Link,"2 seen at Rifle Range Link, CCNR, 14/1 (DA/LKS).  2 at Rifle Range Link, CCNR, 16/2 (LKS)."
Red-eyed Bulbul,Pycnonotus brunneus,16/2/2005,2,(LKS),Rifle Range Link,"2 seen at Rifle Range Link, CCNR, 14/1 (DA/LKS).  2 at Rifle Range Link, CCNR, 16/2 (LKS)."
Swinhoe's White-eye,Zosterops simplex,27/1/2005,1,(LKS),Woodlands Street,"1 seen at Woodlands Street 81 on 27/1 (LKS) was most probably an escapee.  1 at Hindhede Nature Park, 16/2 (LKS)."
Swinhoe's White-eye,Zosterops simplex,16/2/2005,1,(LKS),Hindhede Nature Park,"1 seen at Woodlands Street 81 on 27/1 (LKS) was most probably an escapee.  1 at Hindhede Nature Park, 16/2 (LKS)."
Pallas's Grasshopper-Warbler,Locustella certhiola,19/1/2005,1,(LKS),SBWR,"} heard at SBWR carpark, 19/1 (LKS)."
Oriental Reed Warbler,Acrocephalus orientalis,9/1/2005,2,(DA/NK/LKS/JR),Punggol,"2 at Punggol, 9/1 (DA/NK/LKS/JR)."
Arctic Warbler,Phylloscopus borealis,7/1/2005,2,(DA/LKS),SBWR,"2 at SBWR, 7/1 (DA/LKS).   Singapore Avifauna Volume 19 No. 1"
Eastern Crowned Warbler,Phylloscopus coronatus,14/1/2005,2,(DA/LKS),Sime Road,"2 secn at Sime Road, 14/1 (DA/LKS)."
White-crested Laughingthrush,Garrulax leucolophus,14/1/2005,4,(DA/LKS),Lorong Sesuai,"4 seen at Lorong Sesuai, 14/1 (DA/LKS).  10 counted at Holland Woods, 27/2 (HHC/JL) and 13 at BBNP, 28/2 (AF/LKS)"
White-crested Laughingthrush,Garrulax leucolophus,27/2/2005,10,(HHC/JL),Holland Woods,"4 seen at Lorong Sesuai, 14/1 (DA/LKS).  10 counted at Holland Woods, 27/2 (HHC/JL) and 13 at BBNP, 28/2 (AF/LKS)"
White-crested Laughingthrush,Garrulax leucolophus,28/2/2005,13,(AF/LKS),BBNP,"4 seen at Lorong Sesuai, 14/1 (DA/LKS).  10 counted at Holland Woods, 27/2 (HHC/JL) and 13 at BBNP, 28/2 (AF/LKS)"
Little Spiderhunter,Arachnothera longirostra,6/1/2005,1,(LKS),Dairy Farm Road,"1 seen at Dairy Farm Road, 6/1 (LKS), | at Rifle Range Road, 14/1 (DA/LKS) and 1 at Nee Soon, 30/1  (LKS).  1 at Hindhede Nature Park, 16/2 (LKS)."
Little Spiderhunter,Arachnothera longirostra,14/1/2005,1,(DA/LKS),Rifle Range Road,"1 seen at Dairy Farm Road, 6/1 (LKS), | at Rifle Range Road, 14/1 (DA/LKS) and 1 at Nee Soon, 30/1  (LKS).  1 at Hindhede Nature Park, 16/2 (LKS)."
Little Spiderhunter,Arachnothera longirostra,30/1/2005,1,(LKS),Nee Soon,"1 seen at Dairy Farm Road, 6/1 (LKS), | at Rifle Range Road, 14/1 (DA/LKS) and 1 at Nee Soon, 30/1  (LKS).  1 at Hindhede Nature Park, 16/2 (LKS)."
Little Spiderhunter,Arachnothera longirostra,16/2/2005,1,(LKS),Hindhede Nature Park,"1 seen at Dairy Farm Road, 6/1 (LKS), | at Rifle Range Road, 14/1 (DA/LKS) and 1 at Nee Soon, 30/1  (LKS).  1 at Hindhede Nature Park, 16/2 (LKS)."
Forest Wagtail,Dendronanthus indicus,16/1/2005,1,(LKS),Punggol,"1 flying high over at Punggol, 16/1 (LKS).  1 seen bathing at a forest stream at Sime Road, 16/2 (LKS)."
Forest Wagtail,Dendronanthus indicus,16/2/2005,1,(LKS),Sime Road,"1 flying high over at Punggol, 16/1 (LKS).  1 seen bathing at a forest stream at Sime Road, 16/2 (LKS)."
White Wagtail,Motacilla alba,1/1/2005,1,(AC/AVC),Punggol,"At Punggol, | of race Jeucopsis was seen on 1/1 (AC/AVC) and 30/1 (LKS/LBW).  1 female of race Jeucopsis seen in a canal at Punggol, 12/2 (AC), 13/2 (JC/HHC/AJ/WCC), 18/2 (LKS),  19/2 (AC) and 20/2 (DAH/LKS)."
White Wagtail,Motacilla alba,30/1/2005,1,(LKS/LBW),Punggol,"At Punggol, | of race Jeucopsis was seen on 1/1 (AC/AVC) and 30/1 (LKS/LBW).  1 female of race Jeucopsis seen in a canal at Punggol, 12/2 (AC), 13/2 (JC/HHC/AJ/WCC), 18/2 (LKS),  19/2 (AC) and 20/2 (DAH/LKS)."
White Wagtail,Motacilla alba,12/2/2005,1,(AC),Punggol,"At Punggol, | of race Jeucopsis was seen on 1/1 (AC/AVC) and 30/1 (LKS/LBW).  1 female of race Jeucopsis seen in a canal at Punggol, 12/2 (AC), 13/2 (JC/HHC/AJ/WCC), 18/2 (LKS),  19/2 (AC) and 20/2 (DAH/LKS)."
White Wagtail,Motacilla alba,13/2/2005,1,(JC/HHC/AJ/WCC),Punggol,"At Punggol, | of race Jeucopsis was seen on 1/1 (AC/AVC) and 30/1 (LKS/LBW).  1 female of race Jeucopsis seen in a canal at Punggol, 12/2 (AC), 13/2 (JC/HHC/AJ/WCC), 18/2 (LKS),  19/2 (AC) and 20/2 (DAH/LKS)."
White Wagtail,Motacilla alba,18/2/2005,1,(LKS),Punggol,"At Punggol, | of race Jeucopsis was seen on 1/1 (AC/AVC) and 30/1 (LKS/LBW).  1 female of race Jeucopsis seen in a canal at Punggol, 12/2 (AC), 13/2 (JC/HHC/AJ/WCC), 18/2 (LKS),  19/2 (AC) and 20/2 (DAH/LKS)."
White Wagtail,Motacilla alba,19/2/2005,1,(AC),Punggol,"At Punggol, | of race Jeucopsis was seen on 1/1 (AC/AVC) and 30/1 (LKS/LBW).  1 female of race Jeucopsis seen in a canal at Punggol, 12/2 (AC), 13/2 (JC/HHC/AJ/WCC), 18/2 (LKS),  19/2 (AC) and 20/2 (DAH/LKS)."
White Wagtail,Motacilla alba,20/2/2005,1,(DAH/LKS),Punggol,"At Punggol, | of race Jeucopsis was seen on 1/1 (AC/AVC) and 30/1 (LKS/LBW).  1 female of race Jeucopsis seen in a canal at Punggol, 12/2 (AC), 13/2 (JC/HHC/AJ/WCC), 18/2 (LKS),  19/2 (AC) and 20/2 (DAH/LKS)."
Eastern Yellow Wagtail,Motacilla tschutschensis,9/1/2005,1,(DA/NK/LKS/JR),Punggol,"At Punggol, 1 was seen on 9/1 (DA/NK/LKS/JR), 1 on 16/1 (DA/NK/LKS) and 4 on 30/1 (LKS/LBW).  1 at Changi North, 13/2 (LKS). At Punggol, 1 was seen on 12/2 (AC), 4 on 13/2 (LKS), 5 on 18/2 (LKS), 2  on 19/2 (AC), 5 on 20/2 (DAH/LKS), 5 on 21/2 (DAH/LKS), 5 on 25/2 (LKS) and 7, including a summer macronyx and a summer simillima, on 28/2 (AF/LKS)."
Eastern Yellow Wagtail,Motacilla tschutschensis,16/1/2005,1,(DA/NK/LKS),Punggol,"At Punggol, 1 was seen on 9/1 (DA/NK/LKS/JR), 1 on 16/1 (DA/NK/LKS) and 4 on 30/1 (LKS/LBW).  1 at Changi North, 13/2 (LKS). At Punggol, 1 was seen on 12/2 (AC), 4 on 13/2 (LKS), 5 on 18/2 (LKS), 2  on 19/2 (AC), 5 on 20/2 (DAH/LKS), 5 on 21/2 (DAH/LKS), 5 on 25/2 (LKS) and 7, including a summer macronyx and a summer simillima, on 28/2 (AF/LKS)."
Eastern Yellow Wagtail,Motacilla tschutschensis,30/1/2005,4,(LKS/LBW),Punggol,"At Punggol, 1 was seen on 9/1 (DA/NK/LKS/JR), 1 on 16/1 (DA/NK/LKS) and 4 on 30/1 (LKS/LBW).  1 at Changi North, 13/2 (LKS). At Punggol, 1 was seen on 12/2 (AC), 4 on 13/2 (LKS), 5 on 18/2 (LKS), 2  on 19/2 (AC), 5 on 20/2 (DAH/LKS), 5 on 21/2 (DAH/LKS), 5 on 25/2 (LKS) and 7, including a summer macronyx and a summer simillima, on 28/2 (AF/LKS)."
Eastern Yellow Wagtail,Motacilla tschutschensis,13/2/2005,1,(LKS),Changi North,"At Punggol, 1 was seen on 9/1 (DA/NK/LKS/JR), 1 on 16/1 (DA/NK/LKS) and 4 on 30/1 (LKS/LBW).  1 at Changi North, 13/2 (LKS). At Punggol, 1 was seen on 12/2 (AC), 4 on 13/2 (LKS), 5 on 18/2 (LKS), 2  on 19/2 (AC), 5 on 20/2 (DAH/LKS), 5 on 21/2 (DAH/LKS), 5 on 25/2 (LKS) and 7, including a summer macronyx and a summer simillima, on 28/2 (AF/LKS)."
Eastern Yellow Wagtail,Motacilla tschutschensis,12/2/2005,1,(AC),Punggol,"At Punggol, 1 was seen on 9/1 (DA/NK/LKS/JR), 1 on 16/1 (DA/NK/LKS) and 4 on 30/1 (LKS/LBW).  1 at Changi North, 13/2 (LKS). At Punggol, 1 was seen on 12/2 (AC), 4 on 13/2 (LKS), 5 on 18/2 (LKS), 2  on 19/2 (AC), 5 on 20/2 (DAH/LKS), 5 on 21/2 (DAH/LKS), 5 on 25/2 (LKS) and 7, including a summer macronyx and a summer simillima, on 28/2 (AF/LKS)."
Eastern Yellow Wagtail,Motacilla tschutschensis,13/2/2005,4,(LKS),Punggol,"At Punggol, 1 was seen on 9/1 (DA/NK/LKS/JR), 1 on 16/1 (DA/NK/LKS) and 4 on 30/1 (LKS/LBW).  1 at Changi North, 13/2 (LKS). At Punggol, 1 was seen on 12/2 (AC), 4 on 13/2 (LKS), 5 on 18/2 (LKS), 2  on 19/2 (AC), 5 on 20/2 (DAH/LKS), 5 on 21/2 (DAH/LKS), 5 on 25/2 (LKS) and 7, including a summer macronyx and a summer simillima, on 28/2 (AF/LKS)."
Eastern Yellow Wagtail,Motacilla tschutschensis,18/2/2005,5,(LKS),Punggol,"At Punggol, 1 was seen on 9/1 (DA/NK/LKS/JR), 1 on 16/1 (DA/NK/LKS) and 4 on 30/1 (LKS/LBW).  1 at Changi North, 13/2 (LKS). At Punggol, 1 was seen on 12/2 (AC), 4 on 13/2 (LKS), 5 on 18/2 (LKS), 2  on 19/2 (AC), 5 on 20/2 (DAH/LKS), 5 on 21/2 (DAH/LKS), 5 on 25/2 (LKS) and 7, including a summer macronyx and a summer simillima, on 28/2 (AF/LKS)."
Eastern Yellow Wagtail,Motacilla tschutschensis,19/2/2005,2,(AC),Punggol,"At Punggol, 1 was seen on 9/1 (DA/NK/LKS/JR), 1 on 16/1 (DA/NK/LKS) and 4 on 30/1 (LKS/LBW).  1 at Changi North, 13/2 (LKS). At Punggol, 1 was seen on 12/2 (AC), 4 on 13/2 (LKS), 5 on 18/2 (LKS), 2  on 19/2 (AC), 5 on 20/2 (DAH/LKS), 5 on 21/2 (DAH/LKS), 5 on 25/2 (LKS) and 7, including a summer macronyx and a summer simillima, on 28/2 (AF/LKS)."
Eastern Yellow Wagtail,Motacilla tschutschensis,20/2/2005,5,(DAH/LKS),Punggol,"At Punggol, 1 was seen on 9/1 (DA/NK/LKS/JR), 1 on 16/1 (DA/NK/LKS) and 4 on 30/1 (LKS/LBW).  1 at Changi North, 13/2 (LKS). At Punggol, 1 was seen on 12/2 (AC), 4 on 13/2 (LKS), 5 on 18/2 (LKS), 2  on 19/2 (AC), 5 on 20/2 (DAH/LKS), 5 on 21/2 (DAH/LKS), 5 on 25/2 (LKS) and 7, including a summer macronyx and a summer simillima, on 28/2 (AF/LKS)."
Eastern Yellow Wagtail,Motacilla tschutschensis,21/2/2005,5,(DAH/LKS),Punggol,"At Punggol, 1 was seen on 9/1 (DA/NK/LKS/JR), 1 on 16/1 (DA/NK/LKS) and 4 on 30/1 (LKS/LBW).  1 at Changi North, 13/2 (LKS). At Punggol, 1 was seen on 12/2 (AC), 4 on 13/2 (LKS), 5 on 18/2 (LKS), 2  on 19/2 (AC), 5 on 20/2 (DAH/LKS), 5 on 21/2 (DAH/LKS), 5 on 25/2 (LKS) and 7, including a summer macronyx and a summer simillima, on 28/2 (AF/LKS)."
Eastern Yellow Wagtail,Motacilla tschutschensis,25/2/2005,5,(LKS),Punggol,"At Punggol, 1 was seen on 9/1 (DA/NK/LKS/JR), 1 on 16/1 (DA/NK/LKS) and 4 on 30/1 (LKS/LBW).  1 at Changi North, 13/2 (LKS). At Punggol, 1 was seen on 12/2 (AC), 4 on 13/2 (LKS), 5 on 18/2 (LKS), 2  on 19/2 (AC), 5 on 20/2 (DAH/LKS), 5 on 21/2 (DAH/LKS), 5 on 25/2 (LKS) and 7, including a summer macronyx and a summer simillima, on 28/2 (AF/LKS)."
Eastern Yellow Wagtail,Motacilla tschutschensis,28/2/2005,7,(AF/LKS),Punggol,"At Punggol, 1 was seen on 9/1 (DA/NK/LKS/JR), 1 on 16/1 (DA/NK/LKS) and 4 on 30/1 (LKS/LBW).  1 at Changi North, 13/2 (LKS). At Punggol, 1 was seen on 12/2 (AC), 4 on 13/2 (LKS), 5 on 18/2 (LKS), 2  on 19/2 (AC), 5 on 20/2 (DAH/LKS), 5 on 21/2 (DAH/LKS), 5 on 25/2 (LKS) and 7, including a summer macronyx and a summer simillima, on 28/2 (AF/LKS)."
Gray Wagtail,Motacilla cinerea,2/1/2005,1,(AC/AVC/GYY/KK/LKK/AOY/TJL/TSK),Punggol,"1 seen at Punggol, 2/1 (AC/AVC/GYY/KK/LKK/AOY/TJL/TSK) and 2 at Dairy Farm Road, 18/1 (LKS).  1 female seen at Sime Road, 16/2 (LKS), 2 at Punggol on 25/2 (HHC/JL) and | at a river at Holland  Woods, 27/2 (HHC/JL)."
Gray Wagtail,Motacilla cinerea,18/1/2005,2,(LKS),Dairy Farm Road,"1 seen at Punggol, 2/1 (AC/AVC/GYY/KK/LKK/AOY/TJL/TSK) and 2 at Dairy Farm Road, 18/1 (LKS).  1 female seen at Sime Road, 16/2 (LKS), 2 at Punggol on 25/2 (HHC/JL) and | at a river at Holland  Woods, 27/2 (HHC/JL)."
Gray Wagtail,Motacilla cinerea,16/2/2005,1,(LKS),Sime Road,"1 seen at Punggol, 2/1 (AC/AVC/GYY/KK/LKK/AOY/TJL/TSK) and 2 at Dairy Farm Road, 18/1 (LKS).  1 female seen at Sime Road, 16/2 (LKS), 2 at Punggol on 25/2 (HHC/JL) and | at a river at Holland  Woods, 27/2 (HHC/JL)."
Gray Wagtail,Motacilla cinerea,25/2/2005,2,(HHC/JL),Punggol,"1 seen at Punggol, 2/1 (AC/AVC/GYY/KK/LKK/AOY/TJL/TSK) and 2 at Dairy Farm Road, 18/1 (LKS).  1 female seen at Sime Road, 16/2 (LKS), 2 at Punggol on 25/2 (HHC/JL) and | at a river at Holland  Woods, 27/2 (HHC/JL)."
Gray Wagtail,Motacilla cinerea,27/2/2005,1,(HHC/JL),Holland Woods,"1 seen at Punggol, 2/1 (AC/AVC/GYY/KK/LKK/AOY/TJL/TSK) and 2 at Dairy Farm Road, 18/1 (LKS).  1 female seen at Sime Road, 16/2 (LKS), 2 at Punggol on 25/2 (HHC/JL) and | at a river at Holland  Woods, 27/2 (HHC/JL)."
Baya Weaver,Ploceus philippinus,2/1/2005,20,(AC/AVC/GYY/KK/LKK/AOY/TJL/TSK),Punggol,At least 20 counted including 4 in breeding plumage at Punggol on 2/1 (AC/AVC/GYY/KK/LKK/AOY/TJL/TSK).
